LOCATION,Country,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME,Period,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australia,B6NS1,Net national disposable income,CQR,"National currency, current prices, quarterly levels",Q,Quarterly,1959-Q3,Q3-1959,AUD,Australian Dollar,6,Millions,,,3429,,
AUS,Australia,B6NS1,Net national disposable income,CQR,"National currency, current prices, quarterly levels",Q,Quarterly,1959-Q4,Q4-1959,AUD,Australian Dollar,6,Millions,,,3864,,
AUS,Australia,B6NS1,Net national disposable income,CQR,"National currency, current prices, quarterly levels",Q,Quarterly,1960-Q1,Q1-1960,AUD,Australian Dollar,6,Millions,,,3226,,
AUS,Australia,B6NS1,Net national disposable income,CQR,"National currency, current prices, quarterly levels",Q,Quarterly,1960-Q2,Q2-1960,AUD,Australian Dollar,6,Millions,,,3356,,
AUS,Australia,B6NS1,Net national disposable income,CQR,"National currency, current prices, quarterly levels",Q,Quarterly,1960-Q3,Q3-1960,AUD,Australian Dollar,6,Millions,,,3723,,
AUS,Australia,B6NS1,Net national disposable income,CQR,"National currency, current prices, quarterly levels",Q,Quarterly,1960-Q4,Q4-1960,AUD,Australian Dollar,6,Millions,,,4192,,
AUS,Australia,B6NS1,Net national disposable income,CQR,"National currency, current prices, quarterly levels",Q,Quarterly,1961-Q1,Q1-1961,AUD,Australian Dollar,6,Millions,,,3434,,
AUS,Australia,B6NS1,Net national disposable income,CQR,"National currency, current prices, quarterly levels",Q,Quarterly,1961-Q2,Q2-1961,AUD,Australian Dollar,6,Millions,,,3311,,
AUS,Australia,B6NS1,Net national disposable income,CQR,"National currency, current prices, quarterly levels",Q,Quarterly,1961-Q3,Q3-1961,AUD,Australian Dollar,6,Millions,,,3627,,
AUS,Australia,B6NS1,Net national disposable income,CQR,"National currency, current prices, quarterly levels",Q,Quarterly,1961-Q4,Q4-1961,AUD,Australian Dollar,6,Millions,,,4140,,
AUS,Australia,B6NS1,Net national disposable income,CQR,"National currency, current prices, quarterly levels",Q,Quarterly,1962-Q1,Q1-1962,AUD,Australian Dollar,6,Millions,,,3506,,
AUS,Australia,B6NS1,Net national disposable income,CQR,"National currency, current prices, quarterly levels",Q,Quarterly,1962-Q2,Q2-1962,AUD,Australian Dollar,6,Millions,,,3617,,
AUS,Australia,B6NS1,Net national disposable income,CQR,"National currency, current prices, quarterly levels",Q,Quarterly,1962-Q3,Q3-1962,AUD,Australian Dollar,6,Millions,,,3913,,
